id,name,category,shape,altMax,altMin,spaceType,timeValid,daysActive,timeRange,capacity.small,capacity.medium,capacity.large,czml
KY2600685,德清莫干山机场,禁飞区,圆形,0,0,C,否,nan,nan,0,0,0,
KY25000043,拘留所,禁飞区,圆形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,1325550,26496,780,"{""id"": ""KY25000043"", ""name"": ""拘留所"", ""position"": {""cartographicDegrees"": [120.0103682164834, 30.58961353850464, 60.0]}, ""ellipse"": {""semiMinorAxis"": ""300"", ""semiMajorAxis"": ""300"", ""material"": {""solidColor"": {""color"": {""rgba"": [255, 165, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000024,新市派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,42600,840,20,"{""id"": ""KY25000024"", ""name"": ""新市派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [120.28553620676816, 30.621020976179302, 0, 120.28559978191892, 30.62025516230537, 0, 120.286436792973, 30.620255143977243, 0, 120.2866081157256, 30.62028475652783, 0, 120.28663755148324, 30.620915179286364, 0, 120.2866033038324, 30.62107173050877, 0, 120.28615786599946, 30.62110135674911, 0, 120.28601101510188, 30.62106751050423, 0, 120.28553620676816, 30.621020976179302, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000028,新安派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,41775,816,20,"{""id"": ""KY25000028"", ""name"": ""新安派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [120.214994873419, 30.53395522792871, 0, 120.21509977615926, 30.533142109671093, 0, 120.21611110470882, 30.53338199343231, 0, 120.21610663216028, 30.53412650360533, 0, 120.214994873419, 30.53395522792871, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000023,武康派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,2138250,42744,1260,"{""id"": ""KY25000023"", ""name"": ""武康派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [119.96306379506062, 30.537477526372136, 0, 119.9624498498991, 30.53747128071892, 0, 119.96184911409166, 30.537362003524944, 0, 119.96128466951008, 30.537153893526444, 0, 119.96077820329384, 30.536854946854454, 0, 119.96034917443338, 30.53647664973403, 0, 119.9600140660547, 30.536033537068555, 0, 119.9597857521494, 30.535542633886138, 0, 119.95967300307814, 30.535022801126917, 0, 119.95959501419172, 30.534248373847714, 0, 119.9596027021282, 30.533715380737704, 0, 119.95973189761652, 30.53319409175821, 0, 119.95997755588436, 30.532704854358673, 0, 119.96033008664595, 30.532266764626566, 0, 119.96077572865514, 30.531896921993827, 0, 119.96129708696355, 30.531609761907372, 0, 119.96187381189728, 30.53141649249281, 0, 119.96248339325012, 30.531324657180154, 0, 119.96436172698505, 30.53120436041531, 0, 119.96496537761344, 30.531215960990593, 0, 119.96555522930088, 30.53132710848787, 0, 119.96610936471384, 30.53153367297499, 0, 119.96660719333046, 30.53182797905237, 0, 119.9670302164035, 30.53219909098748, 0, 119.96736271427966, 30.53263321897993, 0, 119.9675923305501, 30.53311423147677, 0, 119.96771053132346, 30.53362425451684, 0, 119.96779878878546, 30.534378145599646, 0, 119.96779968075846, 30.534911769747236, 0, 119.96767861717488, 30.535435107322577, 0, 119.96744033222788, 30.535927684955144, 0, 119.96709414626292, 30.536370232328743, 0, 119.96665360138108, 30.536745436133128, 0, 119.96613593178525, 30.53703861748589, 0, 119.96556138957249, 30.5372383063049, 0, 119.96495245234694, 30.537336690141174, 0, 119.96306379506062, 30.537477526372136, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000025,洛舍派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,24675,480,10,"{""id"": ""KY25000025"", ""name"": ""洛舍派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [120.08057275641065, 30.63933872613051, 0, 120.08005864280098, 30.63849299957381, 0, 120.08052005759458, 30.6383056548395, 0, 120.0809443627532, 30.63898276053449, 0, 120.08103108873163, 30.639175459926275, 0, 120.08057275641065, 30.63933872613051, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000052,阜溪派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,150525,3000,80,"{""id"": ""KY25000052"", ""name"": ""阜溪派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [119.99601395722844, 30.553941114671577, 0, 119.99573694322636, 30.55212572941073, 0, 119.99574207194946, 30.552125729305615, 0, 119.9959933889894, 30.552125721696846, 0, 119.99634215758496, 30.55216121910867, 0, 119.99672683250056, 30.5522366619905, 0, 119.99693199208936, 30.552320988915177, 0, 119.9972910268076, 30.552476326606403, 0, 119.99742951562212, 30.55261835722788, 0, 119.99759877988384, 30.552773702224577, 0, 119.99775266410578, 30.553084400164263, 0, 119.99788603473782, 30.55340397533258, 0, 119.99790144500784, 30.553892224862334, 0, 119.99601395722844, 30.553941114671577, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000042,看守所,禁飞区,圆形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,1325550,26496,780,"{""id"": ""KY25000042"", ""name"": ""看守所"", ""position"": {""cartographicDegrees"": [120.010828033468, 30.58760058994963, 60.0]}, ""ellipse"": {""semiMinorAxis"": ""300"", ""semiMajorAxis"": ""300"", ""material"": {""solidColor"": {""color"": {""rgba"": [255, 165, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000021,舞阳派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,36525,720,20,"{""id"": ""KY25000021"", ""name"": ""舞阳派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [119.95910870787144, 30.521342721250925, 0, 119.95906611873598, 30.520725914868695, 0, 119.95904838321415, 30.52065533630713, 0, 119.96009812304035, 30.520587809378107, 0, 119.9601194646652, 30.52132736490162, 0, 119.95910870787144, 30.521342721250925, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
KY25000029,莫干山派出所,禁飞区,多边形,120,0,WG,是,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",00:00:00-23:59:59,32625,648,10,"{""id"": ""KY25000029"", ""name"": ""莫干山派出所"", ""polygon"": {""positions"": {""cartographicDegrees"": [119.89686932477608, 30.604599950619697, 0, 119.89640457084998, 30.60409554519795, 0, 119.89735647149168, 30.603584660680628, 0, 119.89742387268028, 30.60357485685118, 0, 119.89761796523727, 30.604171219108643, 0, 119.89686932477608, 30.604599950619697, 0]}, ""material"": {""solidColor"": {""color"": {""rgba"": [255, 0, 0, 100]}}}, ""extrudedHeight"": 120, ""height"": 0}}"
