sim_time,frame,active_count,alarm_count,conflict_count
0.0,0,1,1,0
0.5,1,1,1,0
1.0,2,1,1,0
1.5,3,1,1,0
2.0,4,1,1,0
2.5,5,1,1,0
3.0,6,1,1,0
3.5,7,1,1,0
4.0,8,1,1,0
4.5,9,1,1,0
5.0,10,2,1,0
5.5,11,2,1,0
6.0,12,2,1,0
6.5,13,2,1,0
7.0,14,2,1,0
7.5,15,2,1,0
8.0,16,2,1,0
8.5,17,2,1,0
9.0,18,2,1,0
9.5,19,2,1,0
10.0,20,2,1,0
10.5,21,2,1,0
11.0,22,2,1,0
11.5,23,2,1,0
12.0,24,2,1,0
12.5,25,2,1,0
13.0,26,2,1,0
13.5,27,2,1,0
14.0,28,2,1,0
14.5,29,2,1,0
15.0,30,3,1,0
15.5,31,3,1,0
16.0,32,3,1,0
16.5,33,3,1,0
17.0,34,3,1,0
17.5,35,3,1,0
18.0,36,3,1,0
18.5,37,3,1,0
19.0,38,3,1,0
19.5,39,3,1,0
20.0,40,3,1,0
20.5,41,3,1,0
21.0,42,3,1,0
21.5,43,3,1,0
22.0,44,3,1,0
22.5,45,3,1,0
23.0,46,3,1,0
23.5,47,3,1,0
24.0,48,3,1,0
24.5,49,3,1,0
25.0,50,3,1,0
25.5,51,3,1,0
26.0,52,3,1,0
26.5,53,3,1,0
27.0,54,3,1,0
27.5,55,3,1,0
28.0,56,3,1,0
28.5,57,3,1,0
29.0,58,3,1,0
29.5,59,3,1,0
30.0,60,4,1,0
30.5,61,4,1,0
31.0,62,4,1,0
31.5,63,4,1,0
32.0,64,4,1,0
32.5,65,4,1,0
33.0,66,4,1,0
33.5,67,4,1,0
34.0,68,4,1,0
34.5,69,4,1,0
35.0,70,4,1,0
35.5,71,4,1,0
36.0,72,4,1,0
36.5,73,4,1,0
37.0,74,4,1,0
37.5,75,4,1,0
38.0,76,4,1,0
38.5,77,4,1,0
39.0,78,4,1,0
39.5,79,4,1,0
40.0,80,4,1,0
40.5,81,4,1,0
41.0,82,4,1,0
41.5,83,4,1,0
42.0,84,4,1,0
42.5,85,4,1,0
43.0,86,4,1,0
43.5,87,4,1,0
44.0,88,4,1,0
44.5,89,4,1,0
45.0,90,4,1,0
45.5,91,4,1,0
46.0,92,4,1,0
46.5,93,4,1,0
47.0,94,4,1,0
47.5,95,4,1,0
48.0,96,4,1,0
48.5,97,4,1,0
49.0,98,4,1,0
49.5,99,4,1,0
50.0,100,4,1,0
50.5,101,4,1,0
51.0,102,4,1,0
51.5,103,4,1,0
52.0,104,4,1,0
52.5,105,4,1,0
53.0,106,4,1,0
53.5,107,4,1,0
54.0,108,4,1,0
54.5,109,4,1,0
55.0,110,4,1,0
55.5,111,4,1,0
56.0,112,4,1,0
56.5,113,4,1,0
57.0,114,4,1,0
57.5,115,4,1,0
58.0,116,4,1,0
58.5,117,4,1,0
59.0,118,4,1,0
59.5,119,4,1,0
60.0,120,4,1,0
60.5,121,4,1,0
61.0,122,4,1,0
61.5,123,4,1,0
62.0,124,4,1,0
62.5,125,4,1,0
63.0,126,4,1,0
63.5,127,4,1,0
64.0,128,4,1,0
64.5,129,4,1,0
65.0,130,4,1,0
65.5,131,4,1,0
66.0,132,4,1,0
66.5,133,4,1,0
67.0,134,4,1,0
67.5,135,4,1,0
68.0,136,4,1,0
68.5,137,4,1,0
69.0,138,4,1,0
69.5,139,4,1,0
