alarm_id,alarm_level,uav_id,reason,area_id,sim_time
ALM_00001,3,UAV_067,enter_no_fly_area,AREA_C01,161.39999999999938
ALM_00002,2,UAV_060,conflict_with_UAV_092,,167.79999999999902
ALM_00003,2,UAV_092,conflict_with_UAV_060,,167.79999999999902
ALM_00004,2,UAV_045,conflict_with_UAV_094,,207.39999999999677
ALM_00005,2,UAV_094,conflict_with_UAV_045,,207.39999999999677
ALM_00006,3,UAV_064,enter_no_fly_area,AREA_C01,226.59999999999567
ALM_00007,2,UAV_012,conflict_with_UAV_019,,242.1999999999948
ALM_00008,2,UAV_019,conflict_with_UAV_012,,242.1999999999948
ALM_00009,3,UAV_052,enter_no_fly_area,AREA_C01,294.9999999999918
ALM_00010,2,UAV_063,conflict_with_UAV_077,,357.39999999998827
ALM_00011,2,UAV_077,conflict_with_UAV_063,,357.39999999998827
ALM_00012,2,UAV_008,conflict_with_UAV_041,,410.59999999998524
ALM_00013,2,UAV_041,conflict_with_UAV_008,,410.59999999998524
ALM_00014,2,UAV_047,conflict_with_UAV_069,,521.1999999999815
ALM_00015,2,UAV_069,conflict_with_UAV_047,,521.1999999999815
